Size,FullTime,EnqueueTime,WaitTime,BaseSize,PermIndex,Shift
[1,0]<stdout>:6144,0.023936,0.017724,0.007175,49152,1,3
[1,0]<stdout>:12288,0.025613,0.017642,0.008388,49152,2,2
[1,0]<stdout>:6144,0.024507,0.018362,0.006906,49152,2,3
[1,0]<stdout>:6144,0.028022,0.017783,0.010835,49152,3,3
[1,0]<stdout>:32768,0.027026,0.017799,0.009678,65536,1,1
[1,0]<stdout>:16384,0.025992,0.018769,0.008292,65536,1,2
[1,0]<stdout>:8192,0.024120,0.017852,0.006555,65536,1,3
[1,0]<stdout>:16384,0.027327,0.017711,0.009662,65536,2,2
[1,0]<stdout>:8192,0.025593,0.017753,0.008278,65536,2,3
[1,0]<stdout>:8192,0.028723,0.018126,0.011279,65536,3,3
[1,0]<stdout>:49152,0.027896,0.019611,0.010387,98304,1,1
[1,0]<stdout>:24576,0.026372,0.017756,0.009338,98304,1,2
[1,0]<stdout>:12288,0.024273,0.017559,0.006923,98304,1,3
[1,0]<stdout>:24576,0.027539,0.018214,0.010279,98304,2,2
[1,0]<stdout>:12288,0.026001,0.018292,0.008109,98304,2,3
[1,0]<stdout>:12288,0.029695,0.017751,0.012226,98304,3,3
[1,0]<stdout>:65536,0.030053,0.017933,0.013020,131072,1,1
[1,0]<stdout>:32768,0.026348,0.017944,0.009188,131072,1,2
[1,0]<stdout>:16384,0.026424,0.017901,0.009178,131072,1,3
[1,0]<stdout>:32768,0.029979,0.017710,0.012269,131072,2,2
[1,0]<stdout>:16384,0.027127,0.017664,0.010221,131072,2,3
[1,0]<stdout>:16384,0.032140,0.020849,0.013967,131072,3,3
[1,0]<stdout>:98304,0.034486,0.017999,0.017191,196608,1,1
[1,0]<stdout>:49152,0.028343,0.018051,0.011154,196608,1,2
[1,0]<stdout>:24576,0.026685,0.017702,0.009517,196608,1,3
[1,0]<stdout>:49152,0.033415,0.018087,0.015329,196608,2,2
[1,0]<stdout>:24576,0.028017,0.018438,0.010340,196608,2,3
[1,0]<stdout>:24576,0.032611,0.017975,0.014637,196608,3,3
[1,0]<stdout>:131072,0.038782,0.017837,0.021345,262144,1,1
[1,0]<stdout>:65536,0.030944,0.017960,0.013470,262144,1,2
[1,0]<stdout>:32768,0.036072,0.017740,0.018377,262144,1,3
[1,0]<stdout>:65536,0.035668,0.019163,0.018668,262144,2,2
[1,0]<stdout>:32768,0.029867,0.017720,0.012352,262144,2,3
[1,0]<stdout>:32768,0.034700,0.018411,0.017358,262144,3,3
[1,0]<stdout>:196608,0.046509,0.018244,0.028936,393216,1,1
[1,0]<stdout>:98304,0.034443,0.018139,0.016844,393216,1,2
[1,0]<stdout>:49152,0.039892,0.017791,0.022101,393216,1,3
[1,0]<stdout>:98304,0.041917,0.018225,0.024382,393216,2,2
[1,0]<stdout>:49152,0.034259,0.019372,0.016882,393216,2,3
[1,0]<stdout>:49152,0.039363,0.018222,0.021671,393216,3,3
[1,0]<stdout>:262144,0.053711,0.018142,0.036036,524288,1,1
[1,0]<stdout>:131072,0.037751,0.018082,0.020365,524288,1,2
[1,0]<stdout>:65536,0.030446,0.017928,0.013038,524288,1,3
[1,0]<stdout>:131072,0.049106,0.018027,0.031483,524288,2,2
[1,0]<stdout>:65536,0.035848,0.018418,0.018542,524288,2,3
[1,0]<stdout>:65536,0.048306,0.019703,0.029965,524288,3,3
[1,0]<stdout>:393216,0.069353,0.018056,0.051961,786432,1,1
[1,0]<stdout>:196608,0.046789,0.018031,0.029404,786432,1,2
[1,0]<stdout>:98304,0.033755,0.017985,0.016123,786432,1,3
[1,0]<stdout>:196608,0.088752,0.018189,0.070942,786432,2,2
[1,0]<stdout>:98304,0.043122,0.018043,0.025322,786432,2,3
[1,0]<stdout>:98304,0.067571,0.018065,0.049560,786432,3,3
[1,0]<stdout>:524288,0.086665,0.018431,0.069138,1048576,1,1
[1,0]<stdout>:262144,0.053172,0.017945,0.036030,1048576,1,2
[1,0]<stdout>:131072,0.039780,0.018133,0.021761,1048576,1,3
[1,0]<stdout>:262144,0.126609,0.018775,0.108284,1048576,2,2
[1,0]<stdout>:131072,0.049282,0.018240,0.031442,1048576,2,3
[1,0]<stdout>:131072,0.094710,0.018424,0.076749,1048576,3,3
[1,0]<stdout>:786432,0.118324,0.018168,0.100503,1572864,1,1
[1,0]<stdout>:393216,0.070737,0.018125,0.053689,1572864,1,2
[1,0]<stdout>:196608,0.046077,0.018092,0.028763,1572864,1,3
[1,0]<stdout>:393216,0.433896,0.018234,0.416809,1572864,2,2
[1,0]<stdout>:196608,0.085459,0.018530,0.067143,1572864,2,3
[1,0]<stdout>:196608,0.230415,0.018695,0.212134,1572864,3,3
[1,0]<stdout>:1048576,0.150934,0.017973,0.133303,2097152,1,1
[1,0]<stdout>:524288,0.086391,0.018299,0.068931,2097152,1,2
[1,0]<stdout>:262144,0.053540,0.018111,0.036236,2097152,1,3
[1,0]<stdout>:524288,0.353259,0.018035,0.335847,2097152,2,2
[1,0]<stdout>:262144,0.276567,0.017990,0.258596,2097152,2,3
[1,0]<stdout>:262144,0.235250,0.018180,0.217196,2097152,3,3
[1,0]<stdout>:1572864,0.208383,0.018357,0.190719,3145728,1,1
[1,0]<stdout>:786432,0.119867,0.018887,0.101422,3145728,1,2
[1,0]<stdout>:393216,0.069828,0.018110,0.052379,3145728,1,3
[1,0]<stdout>:786432,0.721676,0.018233,0.704070,3145728,2,2
[1,0]<stdout>:393216,0.333575,0.018221,0.316134,3145728,2,3
[1,0]<stdout>:393216,0.314324,0.018188,0.296761,3145728,3,3
[1,0]<stdout>:2097152,0.273142,0.018300,0.255664,4194304,1,1
